OccupationTitle,Category,TotalEmployed2011,MedianSalary2011,ProjectedGrowth2020,Education,Experience,Training
"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",Sales and Related Occupations,375500,74750,16.4,Bachelor's degree,None,Moderate-term on-the-job training
Construction Managers,Management Occupations,195000,84240,16.6,Associate's degree,More than 5 years,None
Farm and Home Management Advisors,"Education, Training, and Library Occupations",10500,45430,16.6,Master's degree,None,None
"Elementary School Teachers, Except Special Education","Education, Training, and Library Occupations",1415590,52840,16.8,Bachelor's degree,None,Internship/residency
"Middle School Teachers, Except Special and Career/Technical Education","Education, Training, and Library Occupations",642820,53130,16.9,Bachelor's degree,None,Internship/residency
Rail Car Repairers,"Installation, Maintenance, and Repair Occupations",19480,47740,16.9,High school diploma or equivalent,None,Long-term on-the-job training
Petroleum Engineers,Architecture and Engineering Occupations,30880,122280,17,Bachelor's degree,None,None
Recreational Therapists,Healthcare Practitioners and Technical Occupations,19650,41060,17.1,Bachelor's degree,None,None
Technical Writers,"Arts, Design, Entertainment, Sports, and Media Occupations",45120,64610,17.2,Bachelor's degree,1 to 5 years,Short-term on-the-job training
"Business Teachers, Postsecondary","Education, Training, and Library Occupations",82090,74770,17.4,Doctoral or professional degree,None,None
"Computer Science Teachers, Postsecondary","Education, Training, and Library Occupations",33510,73090,17.4,Doctoral or professional degree,None,None
"Mathematical Science Teachers, Postsecondary","Education, Training, and Library Occupations",53650,66680,17.4,Doctoral or professional degree,None,None
"Engineering Teachers, Postsecondary","Education, Training, and Library Occupations",33660,90680,17.4,Doctoral or professional degree,None,None
"Agricultural Sciences Teachers, Postsecondary","Education, Training, and Library Occupations",10170,79900,17.4,Doctoral or professional degree,None,None
"Biological Science Teachers, Postsecondary","Education, Training, and Library Occupations",50090,74110,17.4,Doctoral or professional degree,None,None
"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary","Education, Training, and Library Occupations",10660,83140,17.4,Doctoral or professional degree,None,None
"Chemistry Teachers, Postsecondary","Education, Training, and Library Occupations",20830,70960,17.4,Doctoral or professional degree,None,None
"Physics Teachers, Postsecondary","Education, Training, and Library Occupations",13630,77540,17.4,Doctoral or professional degree,None,None
"Economics Teachers, Postsecondary","Education, Training, and Library Occupations",13300,85310,17.4,Doctoral or professional degree,None,None
"Political Science Teachers, Postsecondary","Education, Training, and Library Occupations",17260,71470,17.4,Doctoral or professional degree,None,None
"Psychology Teachers, Postsecondary","Education, Training, and Library Occupations",37540,68150,17.4,Doctoral or professional degree,None,None
"Sociology Teachers, Postsecondary","Education, Training, and Library Occupations",17250,66250,17.4,Doctoral or professional degree,None,None
"Health Specialties Teachers, Postsecondary","Education, Training, and Library Occupations",153430,79860,17.4,Doctoral or professional degree,None,None
"Nursing Instructors and Teachers, Postsecondary","Education, Training, and Library Occupations",55930,63900,17.4,Doctoral or professional degree,None,None
"Education Teachers, Postsecondary","Education, Training, and Library Occupations",63330,59380,17.4,Doctoral or professional degree,None,None
"Criminal Justice and Law Enforcement Teachers, Postsecondary","Education, Training, and Library Occupations",14630,59480,17.4,Doctoral or professional degree,None,None
"Law Teachers, Postsecondary","Education, Training, and Library Occupations",14980,93330,17.4,Doctoral or professional degree,None,None
"Art, Drama, and Music Teachers, Postsecondary","Education, Training, and Library Occupations",90030,62330,17.4,Doctoral or professional degree,None,None
"Communications Teachers, Postsecondary","Education, Training, and Library Occupations",29610,61330,17.4,Doctoral or professional degree,None,None
"English Language and Literature Teachers, Postsecondary","Education, Training, and Library Occupations",72700,61410,17.4,Doctoral or professional degree,None,None
"Foreign Language and Literature Teachers, Postsecondary","Education, Training, and Library Occupations",29010,59630,17.4,Doctoral or professional degree,None,None
"History Teachers, Postsecondary","Education, Training, and Library Occupations",23470,65860,17.4,Doctoral or professional degree,None,None
"Philosophy and Religion Teachers, Postsecondary","Education, Training, and Library Occupations",21930,65100,17.4,Doctoral or professional degree,None,None
"Recreation and Fitness Studies Teachers, Postsecondary","Education, Training, and Library Occupations",18660,57840,17.4,Doctoral or professional degree,None,None
"Vocational Education Teachers, Postsecondary","Education, Training, and Library Occupations",125160,48790,17.4,Doctoral or professional degree,None,None
"Postsecondary Teachers, All Other","Education, Training, and Library Occupations",182130,64310,17.4,Doctoral or professional degree,None,None
Clergy,Community and Social Service Occupations,42560,44140,17.5,Bachelor's degree,None,Moderate-term on-the-job training
Sheet Metal Workers,Construction and Extraction Occupations,130670,42730,17.5,High school diploma or equivalent,None,Apprenticeship
Construction and Building Inspectors,Construction and Extraction Occupations,89620,53180,17.9,High school diploma or equivalent,More than 5 years,Moderate-term on-the-job training
Ship Engineers,Transportation and Material Moving Occupations,10010,70840,18,Bachelor's degree,None,None
Computer and Information Systems Managers,Management Occupations,300830,118010,18.1,Bachelor's degree,More than 5 years,None
Computer Support Specialists,Computer and Mathematical Occupations,632490,47660,18.1,"Some college, no degree",None,Moderate-term on-the-job training
"Psychologists, All Other","Life, Physical, and Social Science Occupations",10580,90010,18.2,Master's degree,None,Internship/residency
"Kindergarten Teachers, Except Special Education","Education, Training, and Library Occupations",164910,49520,18.2,Bachelor's degree,None,Internship/residency
"Funeral Service Managers, Directors, Morticians, and Undertakers",Personal Care and Service Occupations,29760,52790,18.2,Associate's degree,None,Apprenticeship
Paralegals and Legal Assistants*,Legal Occupations,252250,46730,18.3,Associate's degree,None,None
Probation Officers and Correctional Treatment Specialists,Community and Social Service Occupations,88520,47840,18.4,Bachelor's degree,None,Short-term on-the-job training
Forensic Science Technicians,"Life, Physical, and Social Science Occupations",12560,52180,18.6,Bachelor's degree,None,Moderate-term on-the-job training
Computer and Information Research Scientists,Computer and Mathematical Occupations,25160,101080,18.7,Doctoral or professional degree,None,None
"Environmental Scientists and Specialists, Including Health","Life, Physical, and Social Science Occupations",83090,62920,18.7,Bachelor's degree,None,None
